team,league,total_matches,home_matches,away_matches,home_win_rate,away_win_rate,overall_win_probability,avg_home_win_prob,avg_away_win_prob,avg_draw_prob,recent_form,form_points,home_strength,away_strength,overall_strength,home_consistency,away_consistency,last_match_date,strength_ranking,consistency_ranking
Arsenal,Premier League,1,0,1,0.0,1.0,0.8642211051154685,0.0,0.8642211051154685,,W,3,0.0,0.8642211051154685,0.8642211051154685,0.0,,2025-05-25 00:00:00,5.0,5.5
Aston Villa,Premier League,1,0,1,0.0,0.0,0.0958190985752203,0.0,0.0958190985752203,,L,0,0.0,0.0958190985752203,0.0958190985752203,0.0,,2025-05-25 00:00:00,13.0,5.5
Bournemouth,Premier League,1,1,0,1.0,0.0,0.9278420505887576,0.9278420505887576,0.0,,W,3,0.9278420505887576,0.0,0.9278420505887576,,0.0,2025-05-25 00:00:00,1.0,
Brentford,Premier League,1,0,1,0.0,0.0,0.1586491351671028,0.0,0.1586491351671028,,D,1,0.0,0.1586491351671028,0.1586491351671028,0.0,,2025-05-25 00:00:00,12.0,5.5
Brighton,Premier League,1,0,1,0.0,1.0,0.9096212073254438,0.0,0.9096212073254438,,W,3,0.0,0.9096212073254438,0.9096212073254438,0.0,,2025-05-25 00:00:00,3.0,5.5
Chelsea,Premier League,1,0,1,0.0,1.0,0.6580275825850009,0.0,0.6580275825850009,,W,3,0.0,0.6580275825850009,0.6580275825850009,0.0,,2025-05-25 00:00:00,7.0,5.5
Crystal Palace,Premier League,1,0,1,0.0,0.0,0.093054824704454,0.0,0.093054824704454,,D,1,0.0,0.093054824704454,0.093054824704454,0.0,,2025-05-25 00:00:00,14.0,5.5
Everton,Premier League,1,0,1,0.0,0.0,0.4132130148395387,0.0,0.4132130148395387,,D,1,0.0,0.4132130148395387,0.4132130148395387,0.0,,2025-05-25 00:00:00,9.0,5.5
Fulham,Premier League,1,1,0,0.0,0.0,0.0233259830635662,0.0233259830635662,0.0,,L,0,0.0233259830635662,0.0,0.0233259830635662,,0.0,2025-05-25 00:00:00,19.0,
Ipswich,Premier League,1,1,0,0.0,0.0,0.0339723897412892,0.0339723897412892,0.0,,L,0,0.0339723897412892,0.0,0.0339723897412892,,0.0,2025-05-25 00:00:00,17.0,
Leicester,Premier League,1,0,1,0.0,0.0,0.0110879217519359,0.0,0.0110879217519359,,L,0,0.0,0.0110879217519359,0.0110879217519359,0.0,,2025-05-25 00:00:00,20.0,5.5
Liverpool,Premier League,1,1,0,0.0,0.0,0.4228418017035495,0.4228418017035495,0.0,,D,1,0.4228418017035495,0.0,0.4228418017035495,,0.0,2025-05-25 00:00:00,8.0,
Man City,Premier League,1,0,1,0.0,1.0,0.9222110786601871,0.0,0.9222110786601871,,W,3,0.0,0.9222110786601871,0.9222110786601871,0.0,,2025-05-25 00:00:00,2.0,5.5
Man United,Premier League,1,1,0,1.0,0.0,0.8108428413759663,0.8108428413759663,0.0,,W,3,0.8108428413759663,0.0,0.8108428413759663,,0.0,2025-05-25 00:00:00,6.0,
Newcastle,Premier League,1,1,0,0.0,0.0,0.1601511993213432,0.1601511993213432,0.0,,D,1,0.1601511993213432,0.0,0.1601511993213432,,0.0,2025-05-25 00:00:00,11.0,
Nott'm Forest,Premier League,1,1,0,0.0,0.0,0.0711101314377285,0.0711101314377285,0.0,,L,0,0.0711101314377285,0.0,0.0711101314377285,,0.0,2025-05-25 00:00:00,15.0,
Southampton,Premier League,1,1,0,0.0,0.0,0.0370519178669318,0.0370519178669318,0.0,,L,0,0.0370519178669318,0.0,0.0370519178669318,,0.0,2025-05-25 00:00:00,16.0,
Tottenham,Premier League,1,1,0,0.0,0.0,0.0310141929062064,0.0310141929062064,0.0,,L,0,0.0310141929062064,0.0,0.0310141929062064,,0.0,2025-05-25 00:00:00,18.0,
West Ham,Premier League,1,0,1,0.0,1.0,0.90587566265271,0.0,0.90587566265271,,W,3,0.0,0.90587566265271,0.90587566265271,0.0,,2025-05-25 00:00:00,4.0,5.5
Wolves,Premier League,1,1,0,0.0,0.0,0.2667408427985488,0.2667408427985488,0.0,,D,1,0.2667408427985488,0.0,0.2667408427985488,,0.0,2025-05-25 00:00:00,10.0,
