team1,team2,total_matches,team1_wins,team2_wins,draws,team1_win_rate,team2_win_rate,draw_rate,team1_home_advantage,team2_home_advantage,team1_avg_win_prob,team2_avg_win_prob,last_meeting_date,last_result,dominant_team,dominance_margin
Arsenal,Southampton,1,1,0,0,1.0,0.0,0.0,-0.8642211051154685,0.0370519178669318,0.43211055255773423,0.0185259589334659,2025-05-25 00:00:00,Arsenal Win,Arsenal,1
Aston Villa,Man United,1,0,1,0,0.0,1.0,0.0,-0.0958190985752203,0.8108428413759663,0.04790954928761015,0.40542142068798315,2025-05-25 00:00:00,Man United Win,Man United,1
Bournemouth,Leicester,1,1,0,0,1.0,0.0,0.0,0.9278420505887576,-0.0110879217519359,0.4639210252943788,0.00554396087596795,2025-05-25 00:00:00,Bournemouth Win,Bournemouth,1
Brentford,Wolves,1,0,0,1,0.0,0.0,1.0,-0.1586491351671028,0.2667408427985488,0.0793245675835514,0.1333704213992744,2025-05-25 00:00:00,Draw,Balanced,0
Brighton,Tottenham,1,1,0,0,1.0,0.0,0.0,-0.9096212073254438,0.0310141929062064,0.4548106036627219,0.0155070964531032,2025-05-25 00:00:00,Brighton Win,Brighton,1
Chelsea,Nott'm Forest,1,1,0,0,1.0,0.0,0.0,-0.6580275825850009,0.0711101314377285,0.32901379129250047,0.03555506571886425,2025-05-25 00:00:00,Chelsea Win,Chelsea,1
Crystal Palace,Liverpool,1,0,0,1,0.0,0.0,1.0,-0.093054824704454,0.4228418017035495,0.046527412352227,0.21142090085177476,2025-05-25 00:00:00,Draw,Balanced,0
Everton,Newcastle,1,0,0,1,0.0,0.0,1.0,-0.4132130148395387,0.1601511993213432,0.20660650741976935,0.0800755996606716,2025-05-25 00:00:00,Draw,Balanced,0
Fulham,Man City,1,0,1,0,0.0,1.0,0.0,0.0233259830635662,-0.9222110786601871,0.0116629915317831,0.4611055393300936,2025-05-25 00:00:00,Man City Win,Man City,1
Ipswich,West Ham,1,0,1,0,0.0,1.0,0.0,0.0339723897412892,-0.90587566265271,0.0169861948706446,0.452937831326355,2025-05-25 00:00:00,West Ham Win,West Ham,1
